"ID","Event","Comment","Date"
"100","Mini brakes","Dunn","8/17/2017 7:00:00 AM"
"101","Columbus Day","no school","10/9/2017 12:00:00 AM"
"102","PSTweetChat","","11/3/2017 1:00:00 PM"
"103","Lion King","","11/4/2017 2:00:00 PM"
"104","Haircut","","11/10/2017 10:30:00 AM"
"105","Eye checkup","","11/12/2017 9:40:00 AM"
"106","Tire change","van","11/13/2017 2:00:00 PM"
"107","MVP Registration Opens","http://www.mvpsummit18.com","11/6/2017 11:00:00 AM"
"108","Techmentor","Orlando","11/15/2017 12:00:00 AM"
"109","Wine Tasting Party","","11/18/2017 6:00:00 PM"
"110","Cirque de Soleil","","11/19/2017 1:30:00 PM"
"111","Thanksgiving","holiday","11/23/2017 12:00:00 AM"
"112","PSTweetChat","","12/1/2017 1:00:00 PM"
"113","Christmas","holiday","12/25/2017 12:00:00 AM"
"114","Dentist","","12/28/2017 2:00:00 PM"
"115","New Years Eve","","12/31/2017 12:00:00 AM"
"116","New Years Day","holiday","1/1/2018 12:00:00 AM"
"117","MVP Summit","Bellevue/Redmond","3/4/2018 12:00:00 AM"
"118","PowerShell + DevOps Summit","","4/9/2018 12:00:00 AM"
"119","Christmas","holiday","12/25/2018 12:00:00 AM"
